,사업자등록번호,데이터수집일자,조사년도,재무보고서구분코드,재무보고서명칭,매출액_재무제표계정과목금액,매출액_비율,매출액_증감율,영업이익_재무제표계정과목금액,영업이익_비율,영업이익_증감율,당기순이익_재무제표계정과목금액,당기순이익_비율,당기순이익_증감율
1256,2218100207,20220307.0,2018.0,2.0,손익계산서,1425377.0,100.0,-19.3,37650.0,2.64,-39.85,59979.0,4.21,-12.36
1259,6638800208,20220324.0,2020.0,2.0,손익계산서,1179390.0,100.0,-26.21,7130.0,0.6,-43.27,23553.0,2.0,-24.98
1262,6638800208,20220324.0,2019.0,2.0,손익계산서,1598231.0,100.0,413.85,12569.0,0.79,-161.91,31395.0,1.96,684.29
1265,6638800208,20220324.0,2018.0,2.0,손익계산서,311030.0,100.0,-63.26,-20301.0,-6.53,-329.86,4003.0,1.29,-84.51
1268,6638800208,20220324.0,2017.0,2.0,손익계산서,846633.0,100.0,-2.69,8832.0,1.04,-44.92,25849.0,3.05,4.78
1271,1228600209,20220228.0,2020.0,2.0,손익계산서,560183.0,100.0,-41.1,32348.0,5.77,-38.88,18302.0,3.27,-47.93
1274,1228600209,20220228.0,2019.0,2.0,손익계산서,951024.0,100.0,24.93,52925.0,5.57,52.66,35148.0,3.7,21.98
1277,1228600209,20220228.0,2018.0,2.0,손익계산서,761217.0,100.0,42.77,34668.0,4.55,-0.22,28814.0,3.79,0.69
1280,1228600209,20220228.0,2017.0,2.0,손익계산서,533161.0,100.0,-9.18,34746.0,6.52,1.38,28617.0,5.37,-12.4
1287,4118800210,20220307.0,2020.0,2.0,손익계산서,348383061.0,100.0,-46.72,25809849.0,7.41,-35.24,18648614.0,5.35,-33.36
1290,4118800210,20220307.0,2019.0,2.0,손익계산서,706788226.0,100.0,20.43,44906626.0,6.35,16.79,35017997.0,4.95,16.06
1293,4118800210,20220307.0,2018.0,2.0,손익계산서,586887037.0,100.0,247.77,38452342.0,6.55,168.55,30173072.0,5.14,161.05
1296,4118800210,20220307.0,2017.0,2.0,손익계산서,168756702.0,100.0,-61.08,14318579.0,8.48,-36.36,11558134.0,6.85,-35.89
1303,1018100211,20220214.0,2020.0,2.0,손익계산서,66184495.0,100.0,15.06,3867369.0,5.84,35.2,3736302.0,5.65,30.76
1306,1018100211,20220214.0,2019.0,2.0,손익계산서,57523209.0,100.0,26.19,2860528.0,4.97,5.02,2857464.0,4.97,-8.25
1309,1018100211,20220214.0,2018.0,2.0,손익계산서,45583261.0,100.0,66.5,2723706.0,5.98,174.12,3114331.0,6.83,175.58
1312,1018100211,20220214.0,2017.0,2.0,손익계산서,27378102.0,100.0,23.05,-3674711.0,-13.42,-463.24,-4120589.0,-15.05,-464.21
1315,2118700212,20210914.0,2016.0,2.0,손익계산서,12010362.0,100.0,110.72,517844.0,4.31,41.28,344083.0,2.86,17.27
1318,2118700212,20210914.0,2017.0,2.0,손익계산서,18906362.0,100.0,57.42,275615.0,1.46,-46.78,135921.0,0.72,-60.5
1321,2118700212,20210914.0,2018.0,2.0,손익계산서,21075779.0,100.0,11.47,1258113.0,5.97,356.47,845190.0,4.01,521.82
1324,2118700212,20210914.0,2019.0,2.0,손익계산서,26561124.0,100.0,9999.99,1186532.0,4.47,9999.99,582493.0,2.19,9999.99
